FID,Id,Flood_poi,NEAR_FID,NEAR_DIST,DEM_FINAL,Slope,Aspect,Curvature
297,0,0,28,6549.826822889999676,2834.1499023,12.8204002,223.3569946,2.0235400
298,0,0,28,10279.755562700000155,2340.2600098,28.8013000,335.8420105,-0.3251510
299,0,0,24,9711.525353610000820,2424.3601074,30.0729008,335.8439941,-0.9299880
300,0,0,24,9711.525353610000820,2424.3601074,30.0729008,335.8439941,-0.9299880
301,0,0,24,10094.004391500000565,1904.7500000,11.3317003,267.4530029,0.8325470
302,0,0,24,8938.471521679999569,1985.6800537,20.1590004,318.6700134,-1.4780999
303,0,0,24,5762.646243680000225,1536.4000244,12.1617002,329.2070007,1.1584700
304,0,0,24,3490.602263579999999,1892.2299805,6.9727201,38.0497017,1.4395200
305,0,0,24,4677.375753020000047,1670.3299561,26.2453995,168.4010010,-0.6626540
306,0,0,0,7427.157749009999861,1672.0500488,26.6436005,15.2670002,0.7123310
307,0,0,0,6360.079105969999546,1815.8599854,25.7299004,250.8869934,-0.1042790
308,0,0,0,8456.444894079999358,1710.6600342,4.2174501,307.2130127,1.0435300
309,0,0,0,8456.444894079999358,1710.6600342,4.2174501,307.2130127,1.0435300
310,0,0,0,7386.176962649999950,1614.4899902,6.8586102,6.9718599,0.3049660
311,0,0,0,7386.176962649999950,1614.4899902,6.8586102,6.9718599,0.3049660
312,0,0,0,7386.176962649999950,1614.4899902,6.8586102,6.9718599,0.3049660
313,0,0,0,8276.595026040000448,2158.4099121,46.7597008,300.9419861,2.0493701
314,0,0,0,8195.647929369999474,1822.0999756,30.8953991,175.5679932,-1.3928601
315,0,0,0,8195.647929369999474,1822.0999756,30.8953991,175.5679932,-1.3928601
316,0,0,0,9677.602468450000742,1765.9899902,37.6910019,314.7929993,1.6003799
317,0,0,0,9786.569713970000521,1936.0400391,32.2459984,172.6060028,-2.3868599
318,0,0,0,9786.569713970000521,1936.0400391,32.2459984,172.6060028,-2.3868599
319,0,0,0,8787.184405059999335,2001.4200439,19.9398994,28.6746006,1.1342500
320,0,0,0,8787.184405059999335,2001.4200439,19.9398994,28.6746006,1.1342500
321,0,0,0,6797.753836840000076,1386.0600586,10.1206999,333.0069885,-0.0000000
322,0,0,0,6445.945301300000210,1329.4599609,11.3171997,326.0669861,-1.9200000
323,0,0,0,6364.558428989999811,1867.4300537,28.1140003,9.3523397,-0.1342280
324,0,0,0,5051.525183339999785,1615.4100342,23.6942005,1.3577200,-0.1784010
325,0,0,0,7029.359193960000084,1229.1400146,35.3352013,220.2649994,-0.7504650
326,0,0,0,7961.569192420000036,1646.5899658,39.9080009,225.5939941,-1.5519500
